adm_0_name,Year,dengue_total,source_file,Notes
SPAIN,2024,8,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea-previous-years,
SRI LANKA,2001,8931,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2002,10933,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2009,35095,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2010,34188,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2014,47502,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2015,29777,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2016,55150,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2017,186101,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2018,51659,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2019,105049,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SRI LANKA,2020,31162,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462220/,
SUDAN,2019,4205,WHO_EMRO_2019.pdf,
SUDAN,2022,5264,WHO_EMRO_2022.pdf,suspected cases
THAILAND,2015,144952,https://www.who.int/southeastasia/publications/i/item/sea-cd-331,"The number of cases reported in 2013, 2015 and 2019 were
154 444, 144 952 and 131 157, respectively"
TIMOR-LESTE,2016,251,https://www.who.int/southeastasia/publications/i/item/sea-cd-331,
TIMOR-LESTE,2017,550,https://cdn.who.int/media/docs/default-source/2021-dha-docs/5_national-clinical-guideline-of-dengue-timor-leste_clean_final-12-dec-2022.pdf?sfvrsn=e80bf9cd_1,
TIMOR-LESTE,2018,330,https://cdn.who.int/media/docs/default-source/2021-dha-docs/5_national-clinical-guideline-of-dengue-timor-leste_clean_final-12-dec-2022.pdf?sfvrsn=e80bf9cd_1,
TIMOR-LESTE,2019,976,https://cdn.who.int/media/docs/default-source/2021-dha-docs/5_national-clinical-guideline-of-dengue-timor-leste_clean_final-12-dec-2022.pdf?sfvrsn=e80bf9cd_1,
TIMOR-LESTE,2020,1450,https://www.who.int/southeastasia/publications/i/item/sea-cd-331,
VIET NAM,2019,320702,Dengue-20200102.pdf,
VIET NAM,2020,121398,Dengue-20210114.pdf,
VIET NAM,2021,70944,Dengue-20211229.pdf,
VIET NAM,2024,130342,Dengue-20241212.pdf,
YEMEN,2024,5003,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-024-10429-6/tables/1,
YEMEN,2021,19717,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-024-10429-6/tables/1,
YEMEN,2023,22040,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-024-10429-6/tables/1,
YEMEN,2022,25749,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-024-10429-6/tables/1,
YEMEN,2018,27902,WHO_EMRO_2018.pdf,
YEMEN,2016,28185,WHO_EMRO_2016.pdf,
YEMEN,2020,65183,WHO_EMRO_2020.pdf,
YEMEN,2019,71688,WHO_EMRO_2019.pdf,
NEPAL,2019,17992,"Virtual Meeting of Regional Technical Advisory
Group for dengue and other arbovirus",
THAILAND,2022,46755,"Virtual Meeting of Regional Technical Advisory
Group for dengue and other arbovirus",
CAMBODIA,2007,39851,WHO_WPSAR_2011_adm0_annual.pdf,
CAMBODIA,2008,9542,WHO_WPSAR_2011_adm0_annual.pdf,
CAMBODIA,2009,11699,WHO_WPSAR_2011_adm0_annual.pdf,
CAMBODIA,2010,12500,WHO_WPSAR_2011_adm0_annual.pdf,
CAMBODIA,2011,15980,WHO_WPSAR_2011_adm0_annual.pdf,
CAMBODIA,2012,42362,WHO_WPSAR_2012_adm0_annual.pdf,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2007,4943,WHO_WPSAR_2011_adm0_annual.pdf,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2008,4149,WHO_WPSAR_2011_adm0_annual.pdf,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2009,7214,WHO_WPSAR_2011_adm0_annual.pdf,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2010,22929,WHO_WPSAR_2011_adm0_annual.pdf,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2011,3905,WHO_WPSAR_2011_adm0_annual.pdf,
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2012,145,WHO_WPSAR_2012_adm0_annual.pdf,
MALAYSIA,2007,48846,WHO_WPSAR_2011_adm0_annual.pdf,
MALAYSIA,2008,49335,WHO_WPSAR_2011_adm0_annual.pdf,
MALAYSIA,2009,41486,WHO_WPSAR_2011_adm0_annual.pdf,
MALAYSIA,2010,46171,WHO_WPSAR_2011_adm0_annual.pdf,
MALAYSIA,2011,19884,WHO_WPSAR_2011_adm0_annual.pdf,
MALAYSIA,2012,21900,WHO_WPSAR_2012_adm0_annual.pdf,
PHILIPPINES,2007,55639,WHO_WPSAR_2011_adm0_annual.pdf,
PHILIPPINES,2008,39620,WHO_WPSAR_2011_adm0_annual.pdf,
PHILIPPINES,2009,57819,WHO_WPSAR_2011_adm0_annual.pdf,
PHILIPPINES,2010,135355,WHO_WPSAR_2011_adm0_annual.pdf,
PHILIPPINES,2011,125975,WHO_WPSAR_2011_adm0_annual.pdf,
PHILIPPINES,2012,187031,WHO_WPSAR_2012_adm0_annual.pdf,
SINGAPORE,2007,8826,WHO_WPSAR_2011_adm0_annual.pdf,
SINGAPORE,2008,7031,WHO_WPSAR_2011_adm0_annual.pdf,
SINGAPORE,2009,4497,WHO_WPSAR_2011_adm0_annual.pdf,
SINGAPORE,2010,5363,WHO_WPSAR_2011_adm0_annual.pdf,
SINGAPORE,2011,5330,WHO_WPSAR_2011_adm0_annual.pdf,
SINGAPORE,2012,4632,WHO_WPSAR_2012_adm0_annual.pdf,
VIET NAM,2007,104393,WHO_WPSAR_2011_adm0_annual.pdf,
VIET NAM,2008,96451,WHO_WPSAR_2011_adm0_annual.pdf,
VIET NAM,2009,105370,WHO_WPSAR_2011_adm0_annual.pdf,
VIET NAM,2010,128831,WHO_WPSAR_2011_adm0_annual.pdf,
VIET NAM,2011,69680,WHO_WPSAR_2011_adm0_annual.pdf,
VIET NAM,2012,86026,WHO_WPSAR_2012_adm0_annual.pdf,
MARSHALL ISLANDS,2011,1257,WHO_WPSAR_2011_adm0_annual.pdf,
MARSHALL ISLANDS,2012,182,WHO_WPSAR_2012_adm0_annual.pdf,
KIRIBATI,2012,243,WHO_WPSAR_2012_adm0_annual.pdf,
NIUE,2012,128,WHO_WPSAR_2012_adm0_annual.pdf,
